name,frame,channel,channel_name,min,max,mean,std,nonzero_frac_gt_0p01,dark_frac_lt_0p02,white_frac_ge_0p35,binary_white_frac_ge_0p50
selector_output,1,6,aot_on_cloud,0.0,0.2980392277240753,0.26425907015800476,0.06492763757705688,0.9939453125,0.0069140625,0.0,0.0
selector_output,1,7,visible_gray,0.0,1.0,0.47811248898506165,0.27330195903778076,0.9935546875,0.0092578125,0.59578125,0.4255078125
selector_output,2,0,cloud_mask_or_fraction,0.0,1.0,0.7862051129341125,0.37550124526023865,0.8709375,0.132265625,0.8139453125,0.7876953125
selector_output,2,1,cloud_probability,0.0,0.9960784316062927,0.2867579758167267,0.2332322597503662,0.827890625,0.186484375,0.3383984375,0.18078125
selector_output,2,2,white_cloud,0.0,1.0,0.7862051129341125,0.37550124526023865,0.8709375,0.132265625,0.8139453125,0.7876953125
selector_output,2,3,cirrus,0.0,1.0,0.016249999403953552,0.0979219302535057,0.04375,0.9579296875,0.0199609375,0.014609375
selector_output,2,4,high_cloud,0.0,1.0,0.45500001311302185,0.4533805549144745,0.5846875,0.4200390625,0.4993359375,0.456875
selector_output,2,5,medium_cloud,0.0,1.0,0.4723223149776459,0.4230407476425171,0.6940625,0.3143359375,0.5440625,0.475078125
selector_output,2,6,aot_on_cloud,0.0,0.21960784494876862,0.08730009198188782,0.06927680969238281,0.84328125,0.170390625,0.0,0.0
selector_output,2,7,visible_gray,0.0,1.0,0.3228299617767334,0.2848473787307739,0.8588671875,0.163203125,0.3547265625,0.2315625
selector_output,3,0,cloud_mask_or_fraction,0.0,1.0,0.7862051129341125,0.37550124526023865,0.8709375,0.132265625,0.8139453125,0.7876953125
selector_output,3,1,cloud_probability,0.0,0.9960784316062927,0.2867579758167267,0.2332322597503662,0.827890625,0.186484375,0.3383984375,0.18078125
selector_output,3,2,white_cloud,0.0,1.0,0.7862051129341125,0.37550124526023865,0.8709375,0.132265625,0.8139453125,0.7876953125
selector_output,3,3,cirrus,0.0,1.0,0.016249999403953552,0.0979219302535057,0.04375,0.9579296875,0.0199609375,0.014609375
selector_output,3,4,high_cloud,0.0,1.0,0.45500001311302185,0.4533805549144745,0.5846875,0.4200390625,0.4993359375,0.456875
selector_output,3,5,medium_cloud,0.0,1.0,0.4723223149776459,0.4230407476425171,0.6940625,0.3143359375,0.5440625,0.475078125
selector_output,3,6,aot_on_cloud,0.0,0.21960784494876862,0.08730009198188782,0.06927680969238281,0.84328125,0.170390625,0.0,0.0
selector_output,3,7,visible_gray,0.0,1.0,0.3228299617767334,0.2848473787307739,0.8588671875,0.163203125,0.3547265625,0.2315625
oracle_template,0,0,cloud_mask_or_fraction,0.0,1.0,0.6256250143051147,0.4517451822757721,0.72515625,0.27890625,0.6548828125,0.6251953125
oracle_template,0,1,cloud_probability,0.0,1.0,0.46170803904533386,0.39940834045410156,0.71578125,0.29578125,0.5455859375,0.4862109375
oracle_template,0,2,white_cloud,0.0,1.0,0.6256250143051147,0.4517451822757721,0.72515625,0.27890625,0.6548828125,0.6251953125
oracle_template,0,3,cirrus,0.0,1.0,0.010625000111758709,0.0876941978931427,0.02125,0.979296875,0.012890625,0.010234375
oracle_template,0,4,high_cloud,0.0,1.0,0.23000000417232513,0.3801928460597992,0.35578125,0.6516015625,0.2525,0.2251953125
oracle_template,0,5,medium_cloud,0.0,1.0,0.38499999046325684,0.42445892095565796,0.5659375,0.4415625,0.440703125,0.38546875
oracle_template,0,6,aot_on_cloud,0.0,0.33725491166114807,0.20603004097938538,0.14869049191474915,0.72109375,0.28703125,0.0,0.0
oracle_template,0,7,visible_gray,0.0,1.0,0.20295743644237518,0.21479946374893188,0.7170703125,0.3005078125,0.16484375,0.1029296875
oracle_template,1,0,cloud_mask_or_fraction,0.0,1.0,0.09562499821186066,0.2734425663948059,0.13765625,0.8642578125,0.106015625,0.0945703125
oracle_template,1,1,cloud_probability,0.0,0.9960784316062927,0.064232237637043,0.1993400752544403,0.1359375,0.8674609375,0.079609375,0.063515625
oracle_template,1,2,white_cloud,0.0,1.0,0.09562499821186066,0.2734425663948059,0.13765625,0.8642578125,0.106015625,0.0945703125
oracle_template,1,3,cirrus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
oracle_template,1,4,high_cloud,0.0,1.0,0.045625001192092896,0.17929963767528534,0.0884375,0.913828125,0.054453125,0.04421875
oracle_template,1,5,medium_cloud,0.0,1.0,0.05000000074505806,0.17641492187976837,0.10953125,0.893359375,0.0640234375,0.0482421875
oracle_template,1,6,aot_on_cloud,0.0,0.40784314274787903,0.03798774629831314,0.10860349982976913,0.1357421875,0.8680859375,0.068515625,0.0
oracle_template,1,7,visible_gray,0.0,1.0,0.039033398032188416,0.1416667252779007,0.1324609375,0.8759765625,0.0412109375,0.0298046875
oracle_template,2,0,cloud_mask_or_fraction,0.0,1.0,0.09562499821186066,0.2734425663948059,0.13765625,0.8642578125,0.106015625,0.0945703125
oracle_template,2,1,cloud_probability,0.0,0.9960784316062927,0.064232237637043,0.1993400752544403,0.1359375,0.8674609375,0.079609375,0.063515625
oracle_template,2,2,white_cloud,0.0,1.0,0.09562499821186066,0.2734425663948059,0.13765625,0.8642578125,0.106015625,0.0945703125
oracle_template,2,3,cirrus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
oracle_template,2,4,high_cloud,0.0,1.0,0.045625001192092896,0.17929963767528534,0.0884375,0.913828125,0.054453125,0.04421875
oracle_template,2,5,medium_cloud,0.0,1.0,0.05000000074505806,0.17641492187976837,0.10953125,0.893359375,0.0640234375,0.0482421875
oracle_template,2,6,aot_on_cloud,0.0,0.40784314274787903,0.03798774629831314,0.10860349982976913,0.1357421875,0.8680859375,0.068515625,0.0
oracle_template,2,7,visible_gray,0.0,1.0,0.039033398032188416,0.1416667252779007,0.1324609375,0.8759765625,0.0412109375,0.0298046875
oracle_template,3,0,cloud_mask_or_fraction,0.0,1.0,0.4312500059604645,0.45978814363479614,0.54421875,0.460390625,0.4640234375,0.4304296875
oracle_template,3,1,cloud_probability,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
oracle_template,3,2,white_cloud,0.0,1.0,0.4312500059604645,0.45978814363479614,0.54421875,0.460390625,0.4640234375,0.4304296875
oracle_template,3,3,cirrus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
oracle_template,3,4,high_cloud,0.0,1.0,0.25874999165534973,0.40119197964668274,0.36640625,0.6388671875,0.284921875,0.2573046875
