template_index,mode_index,mode,template_sample_id,template_location,template_anchor,template_coverage,pred_loss_wm2,target_loss_wm2,abs_error_wm2,score,image_l1_vs_input,coverage,coverage_base
45,6,soft_add_cloud,athens_gr_20250426T090000Z_s2a_msil2a_20250426t0913,athens_gr,2025-04-26T09:00:00+00:00,0.38334568838278454,96.00382995605469,100.0,3.9961700439453125,5.552481651306152,0.0622524619102478,0.5754071474075317,0.4976651072502136
46,6,soft_add_cloud,oslo_no_20250703T110000Z_s2c_msil2a_20250703t1050,oslo_no,2025-07-03T11:00:00+00:00,0.3758610486984253,96.03116607666016,100.0,3.9688339233398438,5.602478981018066,0.06534580886363983,0.5846989154815674,0.4976651072502136
95,6,soft_add_cloud,athens_gr_20250223T090000Z_s2c_msil2a_20250223t0910,athens_gr,2025-02-23T09:00:00+00:00,0.5501035551230112,103.46155548095703,100.0,3.4615554809570312,5.700655460357666,0.0895640030503273,0.6089987754821777,0.4976651072502136
98,6,soft_add_cloud,athens_gr_20250419T090000Z_s2b_msil2a_20250419t0905,athens_gr,2025-04-19T09:00:00+00:00,0.5401928226153055,96.17828369140625,100.0,3.82171630859375,5.75076961517334,0.07716212421655655,0.5778542757034302,0.4976651072502136
80,6,soft_add_cloud,london_uk_20250810T110000Z_s2a_msil2a_20250810t1107,london_uk,2025-08-10T11:00:00+00:00,0.46186596155166626,96.01179504394531,100.0,3.9882049560546875,5.9076008796691895,0.07677583396434784,0.601240873336792,0.4976651072502136
30,6,soft_add_cloud,cairo_eg_20250201T090000Z_s2c_msil2a_20250201t0832,cairo_eg,2025-02-01T09:00:00+00:00,0.2397469381491343,94.88182067871094,100.0,5.1181793212890625,5.930212020874023,0.032481297850608826,0.533280611038208,0.4976651072502136
4,4,max_add_cloud,oslo_no_20250728T110000Z_s2b_msil2a_20250728t1046,oslo_no,2025-07-28T11:00:00+00:00,0.19346728920936584,104.1289291381836,100.0,4.128929138183594,5.938498497009277,0.07238277047872543,0.6002089381217957,0.4976651072502136
0,4,max_add_cloud,london_uk_20250810T110000Z_s2b_msil2a_20250810t1056,london_uk,2025-08-10T11:00:00+00:00,0.07042208189765613,94.62954711914062,100.0,5.370452880859375,5.9628071784973145,0.023694174364209175,0.5293754935264587,0.4976651072502136
26,6,soft_add_cloud,cairo_eg_20241123T090000Z_s2a_msil2a_20241123t0832,cairo_eg,2024-11-23T09:00:00+00:00,0.23586785793304443,94.99091339111328,100.0,5.009086608886719,5.981691360473633,0.038904186338186264,0.5467075109481812,0.4976651072502136
5,6,soft_add_cloud,athens_gr_20250429T090000Z_s2b_msil2a_20250429t0905,athens_gr,2025-04-29T09:00:00+00:00,0.1863303780555725,104.93244934082031,100.0,4.9324493408203125,6.027653217315674,0.04380815103650093,0.5503664612770081,0.4976651072502136
130,6,soft_add_cloud,oslo_no_20250703T110000Z_s2c_msil2a_20250703t1050,oslo_no,2025-07-03T11:00:00+00:00,0.42109449704488117,95.7437973022461,100.0,4.256202697753906,6.109101295471191,0.07411593943834305,0.5958638787269592,0.4976651072502136
30,4,max_add_cloud,cairo_eg_20250201T090000Z_s2c_msil2a_20250201t0832,cairo_eg,2025-02-01T09:00:00+00:00,0.2397469381491343,95.17320251464844,100.0,4.8267974853515625,6.19301700592041,0.05464877188205719,0.5623661279678345,0.4976651072502136
125,6,soft_add_cloud,oslo_no_20250625T110000Z_s2b_msil2a_20250625t1036,oslo_no,2025-06-25T11:00:00+00:00,0.4663279155890147,95.8232650756836,100.0,4.176734924316406,6.248887062072754,0.08288607746362686,0.6070288419723511,0.4976651072502136
0,6,soft_add_cloud,london_uk_20250810T110000Z_s2b_msil2a_20250810t1056,london_uk,2025-08-10T11:00:00+00:00,0.07042208189765613,94.05155944824219,100.0,5.9484405517578125,6.283542633056641,0.013404089026153088,0.5146945714950562,0.4976651072502136
2,4,max_add_cloud,helsinki_fi_20250809T100000Z_s2b_msil2a_20250809t0950,helsinki_fi,2025-08-09T10:00:00+00:00,0.18623294060428938,95.23615264892578,100.0,4.763847351074219,6.313847541809082,0.06200001761317253,0.5781106948852539,0.4976651072502136
0,0,keep,london_uk_20250810T110000Z_s2b_msil2a_20250810t1056,london_uk,2025-08-10T11:00:00+00:00,0.07042208189765613,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
1,0,keep,reykjavik_is_20241102T130000Z_s2b_msil2a_20241102t1312,reykjavik_is,2024-11-02T13:00:00+00:00,0.07641850784420967,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
