name,frame,channel,channel_name,min,max,mean,std,nonzero_frac_gt_0p01,dark_frac_lt_0p02,white_frac_ge_0p35,binary_white_frac_ge_0p50
original,2,1,cloud_probability,0.0,1.0,0.3487018942832947,0.30411580204963684,0.8123828125,0.19890625,0.4111328125,0.2735546875
original,2,2,white_cloud,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,2,3,cirrus,0.0,1.0,0.4831250011920929,0.4555369019508362,0.61734375,0.3879296875,0.525390625,0.4837890625
original,2,4,high_cloud,0.0,1.0,0.08375000208616257,0.22007876634597778,0.1990625,0.80796875,0.101484375,0.078046875
original,2,5,medium_cloud,0.0,1.0,0.11687500029802322,0.24567212164402008,0.2846875,0.7248828125,0.1474609375,0.109453125
original,2,6,aot_on_cloud,0.0,0.08627451211214066,0.057502761483192444,0.03476302698254585,0.791796875,0.260234375,0.0,0.0
original,2,7,visible_gray,0.0,0.9921568632125854,0.10035355389118195,0.1310560256242752,0.779921875,0.2554296875,0.0552734375,0.0294140625
original,3,0,cloud_mask_or_fraction,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,3,1,cloud_probability,0.0,1.0,0.3487018942832947,0.30411580204963684,0.8123828125,0.19890625,0.4111328125,0.2735546875
original,3,2,white_cloud,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,3,3,cirrus,0.0,1.0,0.4831250011920929,0.4555369019508362,0.61734375,0.3879296875,0.525390625,0.4837890625
original,3,4,high_cloud,0.0,1.0,0.08375000208616257,0.22007876634597778,0.1990625,0.80796875,0.101484375,0.078046875
original,3,5,medium_cloud,0.0,1.0,0.11687500029802322,0.24567212164402008,0.2846875,0.7248828125,0.1474609375,0.109453125
original,3,6,aot_on_cloud,0.0,0.08627451211214066,0.057502761483192444,0.03476302698254585,0.791796875,0.260234375,0.0,0.0
original,3,7,visible_gray,0.0,0.9921568632125854,0.10035355389118195,0.1310560256242752,0.779921875,0.2554296875,0.0552734375,0.0294140625
input,0,0,cloud_mask_or_fraction,0.0,1.0,0.3477574586868286,0.4466719329357147,0.4549609375,0.549765625,0.3651171875,0.339921875
input,0,1,cloud_probability,0.0,1.0,0.21495987474918365,0.2676572799682617,0.606171875,0.4051171875,0.204921875,0.137109375
input,0,2,white_cloud,0.0,1.0,0.34905269742012024,0.4474211037158966,0.4551171875,0.549609375,0.3652734375,0.3431640625
input,0,3,cirrus,0.0,1.0,0.4831250011920929,0.4555369019508362,0.61734375,0.3879296875,0.525390625,0.4837890625
input,0,4,high_cloud,0.0,1.0,0.04901731014251709,0.16353556513786316,0.1485546875,0.8584765625,0.0509765625,0.0390234375
input,0,5,medium_cloud,0.0,1.0,0.06882138550281525,0.18618352711200714,0.2113671875,0.798203125,0.074140625,0.055234375
input,0,6,aot_on_cloud,0.0,0.08627451211214066,0.057502761483192444,0.03476302698254585,0.791796875,0.260234375,0.0,0.0
input,0,7,visible_gray,0.0,0.9921568632125854,0.08568811416625977,0.10625430196523666,0.75296875,0.2823828125,0.0283203125,0.0152734375
input,1,0,cloud_mask_or_fraction,0.0,1.0,0.3473203182220459,0.4466003477573395,0.45375,0.5509765625,0.36390625,0.341640625
