dataset_index,sample_id,location,anchor,coverage
127,london_uk_20250805T110000Z_s2c_msil2a_20250805t1056,london_uk,2025-08-05T11:00:00+00:00,0.5368755658467611
71,athens_gr_20250223T090000Z_s2c_msil2a_20250223t0910,athens_gr,2025-02-23T09:00:00+00:00,0.5501035551230112
50,reykjavik_is_20250605T130000Z_s2c_msil2a_20250605t1313,reykjavik_is,2025-06-05T13:00:00+00:00,0.5262789726257324
64,helsinki_fi_20250521T100000Z_s2b_msil2a_20250521t0950,helsinki_fi,2025-05-21T10:00:00+00:00,0.5241233309110006
83,athens_gr_20250419T090000Z_s2b_msil2a_20250419t0905,athens_gr,2025-04-19T09:00:00+00:00,0.5401928226153055
114,oslo_no_20250730T110000Z_s2c_msil2a_20250730t1040,oslo_no,2025-07-30T11:00:00+00:00,0.5248012443383535
33,reykjavik_is_20250302T130000Z_s2b_msil2a_20250302t1312,reykjavik_is,2025-03-02T13:00:00+00:00,0.5098432302474976
69,athens_gr_20250218T090000Z_s2b_msil2a_20250218t0909,athens_gr,2025-02-18T09:00:00+00:00,0.6850791573524475
0,sofia_bg_20231204T090000Z_s2a_msil2a_20231204t0923,sofia_bg,2023-12-04T09:00:00+00:00,0.6615848739941915
11,milan_it_20241201T100000Z_s2b_msil2a_20241201t1023,milan_it,2024-12-01T10:00:00+00:00,0.6485868295033773
125,london_uk_20250728T110000Z_s2a_msil2a_20250728t1057,london_uk,2025-07-28T11:00:00+00:00,0.6110295653343201
68,athens_gr_20250213T090000Z_s2c_msil2a_20250213t0911,athens_gr,2025-02-13T09:00:00+00:00,0.6927434106667837
115,oslo_no_20250804T110000Z_s2a_msil2a_20250804t1047,oslo_no,2025-08-04T11:00:00+00:00,0.6302633682886759
49,reykjavik_is_20250428T130000Z_s2b_msil2a_20250428t1302,reykjavik_is,2025-04-28T13:00:00+00:00,0.6005941232045492
117,oslo_no_20250804T110000Z_s2b_msil2a_20250804t1036,oslo_no,2025-08-04T11:00:00+00:00,0.6610787014166514
37,reykjavik_is_20250319T130000Z_s2b_msil2a_20250319t1302,reykjavik_is,2025-03-19T13:00:00+00:00,0.69783882300059
94,athens_gr_20250524T090000Z_s2c_msil2a_20250524t0906,athens_gr,2025-05-24T09:00:00+00:00,0.6298908491929373
47,reykjavik_is_20250426T130000Z_s2c_msil2a_20250426t1313,reykjavik_is,2025-04-26T13:00:00+00:00,0.6281460722287496
34,reykjavik_is_20250304T130000Z_s2c_msil2a_20250304t1303,reykjavik_is,2025-03-04T13:00:00+00:00,0.696637769540151
63,helsinki_fi_20250515T100000Z_s2a_msil2a_20250515t0941,helsinki_fi,2025-05-15T10:00:00+00:00,0.6300745805104574
70,athens_gr_20250218T090000Z_s2b_msil2a_20250218t0909,athens_gr,2025-02-18T09:00:00+00:00,0.6774148444334666
56,reykjavik_is_20250627T130000Z_s2a_msil2a_20250627t1313,reykjavik_is,2025-06-27T13:00:00+00:00,0.6155875424544016
57,reykjavik_is_20250627T130000Z_s2b_msil2a_20250627t1302,reykjavik_is,2025-06-27T13:00:00+00:00,0.7284396886825562
